fips,preterm,lbw,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,hs,ba,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,maternal_care_code
37123,10.9,10.9,55.61885076,76.3,18,0.4,1.5,0,1.8,15.3,19.7,79.3,14.7,51.8,191.1,86.5,14.69104255,2.870663487,14.95552608,10.27620218,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,501.532,0
37125,9.9,8.9,137.0675297,82.6,12.7,0.9,1.4,0.1,1.5,6.5,12.6,90.4,36.9,51.1,162,90.6,23.58251228,14.12686082,24.65464011,24.91263878,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,705.678,1
37131,10.7,11.6,37.61532341,40,56.5,0.6,0.2,0,2.2,2.1,21.9,79.5,12.8,41.8,205.1,85.1,163.9879771,156.8845583,185.2758724,42.31490954,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,550.553,0
37139,9.9,9.2,174.0082863,58.5,36.5,0.1,1.7,0.1,2.5,5.1,16.1,86.5,20.5,45.8,189.6,86.7,272.1262341,257.0874471,284.6218265,4.702926657,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,289.33,1
37143,7.7,7.3,54.45812967,73.6,24.5,0.4,0.3,0.1,0.7,2.6,15.5,86.5,20.4,59.6,241.3,87.3,248.9924902,245.2335481,277.2432266,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,328.932,0
37149,10.5,6.9,86.07117764,90.4,5.2,0.1,0.4,0,1,5.8,9.5,90.9,31.7,51.6,236.7,90,27.47310539,3.605582131,13.91325567,1.804894672,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,238.445,0
37153,13.1,12.2,95.39501461,62.4,31.8,2.3,1,0.1,1.7,6.4,24.1,80.3,13.9,42.7,232.5,87.4,16.01210883,7.572239204,25.04517589,26.30756759,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,479.703,1
37155,11.2,12.1,140.8690383,28.6,24,39.4,0.6,0,2.2,8.7,28.1,77.1,13.2,37.4,165,85,137.0454471,146.5780337,188.3862904,82.25471536,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,949.237,1
37161,9.8,9,117.6647443,86.3,9.7,0.5,0.4,0,1.8,4.2,18,82.6,17.3,44.4,262.9,88.8,19.30011655,1.098265589,9.146907613,2.987070178,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,567.249,1
37163,10.2,8.8,67.21038974,64.4,25.2,1.9,0.6,0,3,19.3,24.1,77.7,12.8,42.5,191.5,84.5,148.9359227,143.7492995,187.7843126,67.99076242,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,947.603,1
37165,11.8,14.1,110.4903475,44.4,39,11.5,0.8,0,2.5,2.9,27.7,79.8,15.5,37.9,168.5,88.4,57.59836561,30.47555783,81.51256028,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,320.624,1
37167,12.3,10.5,154.6696497,84,11.2,0.4,1.9,0,1.7,4.1,14.3,85.1,15.8,52.1,209.1,89.5,110.6102863,27.48996523,116.4514611,19.56337978,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,404.872,1
37171,10.3,9,135.0821183,91.4,3.8,0.4,0.6,0.1,1.2,10.3,16.9,78.3,16.8,53.2,216.9,87.2,97.38787654,38.21509269,80.8836479,25.30998123,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,537.733,1
37173,11.5,7.8,27.01012643,64.7,0.4,29.6,0.3,0,4.1,5.1,17.3,78.3,16,44.7,250,78.5,1.665630779,0.308871237,0.829973016,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,540.244,0
37175,10.7,9.1,88.55681953,91.2,4.5,0.3,0.3,0,1.4,3.3,14.7,88.6,31.5,55.1,200.1,85.5,12.86350364,1.339728091,7.945882384,4.07731843,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,380.408,1
37177,NA,NA,10.54056544,54.6,37.6,0.8,0,0,1.9,6.4,25.2,75.5,9.7,59.4,151.2,83.6,99.66579319,87.61541139,128.5084038,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,597.176,0
37181,12.6,12.3,176.2375296,43.6,50.1,1.7,0.6,0.1,2.1,7.6,23.9,80,12.9,35.9,191.7,89.5,54.82610797,19.53264289,39.4931814,92.10453332,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,268.685,1
37185,12,10.5,46.68402005,40.1,50.7,5.8,0.4,0,2.1,3.8,19.2,80.5,15.5,39.2,183,86.9,36.03662387,21.56977435,46.39971663,30.08489487,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,444.301,1
37187,11.2,12.4,35.08123864,46.6,47.3,0.3,0.2,0,3.4,5.3,23.5,79.9,11.3,34.8,216.3,88.1,150.142853,164.1684223,192.2945947,43.22241782,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,421.909,0
37189,12.4,8.8,173.2192984,93.9,1.7,0.7,1,0.1,1.5,3.5,27.2,89.5,41.6,39.4,95,91.2,32.01149738,3.2488421,5.764694209,2.515852109,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,313.319,1
37193,11.3,10.1,90.73077637,91.3,4.1,0.3,0.6,0.2,1.6,6.3,19.9,78.6,15.5,54,257,88.9,30.8055239,5.504015692,32.58011504,2.576404167,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,757.19,1
